osmid,surface,highway,maxspeed,lit,sidewalk,cycleway,oneway,reversed,length,geometry,lanes,source:maxspeed,cycleway:left,cycleway:right,cycleway:both,width,oneway:bicycle,access,parking:lane:both,parking:lane:left,lane_score,maxspeed_score,parking,parking_score,facility_type,separated_bike_la,shared_bike_lane,no_access_bike,cycle_track,dirt_cycle_track,no_bike_infra,path_cycle,score
1104809680,,service,30,yes,,,False,True,35.196,"LINESTRING (9.9671026 53.5854755, 9.9669063 53.5854124, 9.9668373 53.5854885, 9.9668161 53.5855118, 9.9667593 53.5855744)",1,,,,,,,permit,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
719283014,asphalt,tertiary,50,yes,,track,False,True,24.373,"LINESTRING (9.9667593 53.5855744, 9.9670757 53.5856874)",2,DE:urban,,,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
719283014,asphalt,tertiary,50,yes,,track,False,False,62.25,"LINESTRING (9.9667593 53.5855744, 9.9662536 53.5853937, 9.9659513 53.5852857)",2,DE:urban,,,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
1104809680,,service,30,yes,,,False,False,35.196,"LINESTRING (9.9667593 53.5855744, 9.9668161 53.5855118, 9.9668373 53.5854885, 9.9669063 53.5854124, 9.9671026 53.5854755)",1,,,,,,,permit,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
633941980,paving_stones,service,30,yes,,,False,True,21.725,"LINESTRING (9.9655658 53.5849366, 9.9655 53.5849749, 9.9654483 53.5850644, 9.9654343 53.5851097)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
719283014,asphalt,tertiary,50,yes,,track,False,True,20.312,"LINESTRING (9.9651641 53.5850223, 9.9653521 53.5850831, 9.9653948 53.5850969, 9.9654343 53.5851097)",2,DE:urban,,,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
1117873016,,service,30,yes,,,False,False,23.673000000000002,"LINESTRING (9.9651641 53.5850223, 9.9651793 53.5849733, 9.9652438 53.584854, 9.9651887 53.5848351)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
1117873016,,service,30,yes,,,False,True,23.673,"LINESTRING (9.9651887 53.5848351, 9.9652438 53.584854, 9.9651793 53.5849733, 9.9651641 53.5850223)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
1186493204,,service,30,,,,False,True,18.746,"LINESTRING (9.96174 53.5786008, 9.961789 53.5785805, 9.9618155 53.5785741, 9.9618393 53.5785723, 9.9618638 53.5785755, 9.9618876 53.5785807, 9.9619288 53.5785962, 9.9619924 53.5786167)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
"[1186493208, 1186493205, 1186493206, 1186493207]",,service,30,,,,False,False,69.376,"LINESTRING (9.962028 53.5788233, 9.9620428 53.5788233, 9.9620629 53.5788245, 9.962083 53.5788285, 9.9621018 53.5788353, 9.9621246 53.5788468, 9.9621434 53.5788623, 9.9621682 53.5788822, 9.962195 53.5788986, 9.9622304 53.578908, 9.962269 53.5788939, 9.962568 53.5787849, 9.9627177 53.5787303, 9.9629051 53.5786622)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
952072730,asphalt,primary,50,yes,right,,True,False,4.285,"LINESTRING (9.9629051 53.5786622, 9.9628853 53.5786255)",2,DE:urban,no,track,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
"[1186493208, 1186493205, 1186493206, 1186493207]",,service,30,,,,False,True,69.376,"LINESTRING (9.9629051 53.5786622, 9.9627177 53.5787303, 9.962568 53.5787849, 9.962269 53.5788939, 9.9622304 53.578908, 9.962195 53.5788986, 9.9621682 53.5788822, 9.9621434 53.5788623, 9.9621246 53.5788468, 9.9621018 53.5788353, 9.962083 53.5788285, 9.9620629 53.5788245, 9.9620428 53.5788233, 9.962028 53.5788233)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
