osmid,surface,highway,maxspeed,lit,sidewalk,cycleway,oneway,reversed,length,geometry,lanes,source:maxspeed,cycleway:left,cycleway:right,cycleway:both,width,oneway:bicycle,access,parking:lane:both,parking:lane:left,lane_score,maxspeed_score,parking,parking_score,facility_type,separated_bike_la,shared_bike_lane,no_access_bike,cycle_track,dirt_cycle_track,no_bike_infra,path_cycle,score
"[928994187, 928994188, 928994189]",,service,30,yes,,,False,True,63.238,"LINESTRING (9.9679649 53.5827298, 9.9676069 53.582969, 9.9674855 53.5830537, 9.9672819 53.5831193)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
44368760,asphalt,primary,50,yes,both,track,False,True,21.943,"LINESTRING (9.9672819 53.5831193, 9.9674387 53.5832933)",4,DE:urban,,,,,,,,,4,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,5.285349233390091
44368760,asphalt,primary,50,yes,both,track,False,False,19.573,"LINESTRING (9.9672819 53.5831193, 9.9672496 53.5830834, 9.967142 53.5829641)",4,DE:urban,,,,,,,,,4,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,5.285349233390091
"[928994187, 928994188, 928994189]",,service,30,yes,,,False,False,63.238,"LINESTRING (9.9672819 53.5831193, 9.9674855 53.5830537, 9.9676069 53.582969, 9.9679649 53.5827298)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
"[945220857, 945220853, 945220854]",paving_stones,service,30,yes,,,False,True,51.541000000000004,"LINESTRING (9.965647 53.5840276, 9.9655339 53.5841368, 9.9653949 53.5841546, 9.9653292 53.5841286, 9.9651787 53.5840703, 9.9650419 53.5840166)",1,,,,,,,permissive,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
952072729,asphalt,tertiary,50,yes,separate,no,False,False,12.867,"LINESTRING (9.9634253 53.5792693, 9.9636201 53.5792656)",2,,,,,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
"[54499808, 952072732]",asphalt,tertiary,50,yes,both,no,False,False,150.86100000000002,"LINESTRING (9.9634253 53.5792693, 9.9633191 53.5792712, 9.9632102 53.5792871, 9.9631439 53.5793041, 9.9630441 53.5793305, 9.9629842 53.5793485, 9.9629026 53.5793744, 9.9628259 53.5794013, 9.9614903 53.5799628)",2,,,,,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
952072730,asphalt,primary,50,yes,right,,True,False,75.99,"LINESTRING (9.9634253 53.5792693, 9.9632828 53.5791133, 9.9631333 53.5789477, 9.9629741 53.5787898, 9.9629051 53.5786622)",2,DE:urban,no,track,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
952072729,asphalt,tertiary,50,yes,separate,no,False,True,12.867,"LINESTRING (9.9636201 53.5792656, 9.9634253 53.5792693)",2,,,,,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
952072731,asphalt,primary,50,yes,right,,True,False,83.26599999999999,"LINESTRING (9.9636201 53.5792656, 9.9637496 53.5794291, 9.9639344 53.5796777, 9.9640599 53.5799646)",2,DE:urban,no,track,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
